# BEAST v10.5.0
# Generated Sat May 23 16:56:28 CEST 2026 [seed=1779548169413]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
42000	-109644.48823162029	-2041.3615934659438	-107603.12663815434	144.0470851405462	1879.5501751334264	9437.726168770027	8880.000228249193	0.044924238889700874	1.0502664867591072	0.24917543902089273	0.2490004218172344	0.25253228749406537	0.24929185166780743	0.45330080827083824	1.1942278112148246E-4	1.194227811214824E-4	-107603.12663815434	0.0	-2018.6772831383555
43000	-109552.98539787358	-2054.2204071267747	-107498.7649907468	148.11811520574832	1875.4791450682242	9935.845316784871	10699.830987276522	0.044924238889700874	1.017587952902147	0.24917543902089273	0.24865303494606675	0.252879674365233	0.24929185166780743	0.4631462834102117	1.1331483292252981E-4	1.1331483292252988E-4	-107498.7649907468	0.0	-2029.5755545095458
44000	-109514.37848887967	-2053.3521909324727	-107461.02629794719	153.27785695670667	1870.3194033172658	10010.136582607967	9913.8956986033	0.044924238889700874	1.017587952902147	0.24608851800474676	0.24813718087136263	0.2527160653901169	0.2530582357337737	0.4603545164107178	1.1341445761263762E-4	1.1341445761263784E-4	-107461.02629794719	0.0	-2029.5689410961013
45000	-109356.80837512952	-2055.5162287013886	-107301.29214642812	151.90370287028773	1871.6935574036847	9943.353933841709	9782.383801095562	0.044924238889700874	1.017587952902147	0.24845774638511603	0.24782882187359945	0.2527160653901169	0.2509973663511676	0.4603545164107178	1.133177558315888E-4	1.1331775583158916E-4	-107301.29214642812	0.0	-2031.8834468224968
46000	-109296.88687151979	-2037.2290145554623	-107259.65785696433	140.5641003144769	1883.0331599594956	9196.644408759734	7914.0229654237555	0.044924238889700874	1.017587952902147	0.2487419086169983	0.24730435932221373	0.25186178190565317	0.25209195015513475	0.4603545164107178	1.2197812315307804E-4	1.2197812315307802E-4	-107259.65785696433	0.0	-2015.6054418753881
47000	-109233.47255678289	-2033.2360016779437	-107200.23655510494	143.68834156802302	1879.9089187059494	9133.00578368014	8170.418719679989	0.044924238889700874	1.017587952902147	0.2487419086169983	0.24746866440343218	0.24933709311419508	0.25445233386537436	0.4721822137316275	1.2451555015075317E-4	1.2451555015075306E-4	-107200.23655510494	0.0	-2011.2713476453619
48000	-109178.779009084	-2040.08710665732	-107138.69190242668	144.03603620981806	1879.5612240641544	9447.03119448347	8381.689075843326	0.044924238889700874	1.0137590156275258	0.2473750023571077	0.24746866440343218	0.246058034421861	0.25909829881759905	0.4721822137316275	1.1899905302685747E-4	1.1899905302685738E-4	-107138.69190242668	0.0	-2017.9396470138788
49000	-109121.72638761355	-2043.9720420053593	-107077.75434560819	149.97083003321123	1873.6264302407612	9718.287144288439	9794.973339169605	0.044924238889700874	1.0137590156275258	0.2473750023571077	0.24948865347933546	0.24403804534595772	0.25909829881759905	0.4721822137316275	1.1638740413495317E-4	1.1638740413495335E-4	-107077.75434560819	0.0	-2020.2739856302824
50000	-109045.69920315593	-2042.1563014562141	-107003.54290169972	144.77749095735172	1878.8197693166208	9697.83222668898	8765.150893894901	0.044924238889700874	1.0006097869433708	0.2471347793619078	0.25141168873911446	0.24986259669237199	0.2515909352066057	0.44033371046896125	1.1358101320736418E-4	1.1358101320736442E-4	-107003.54290169972	0.0	-2019.7082457853016
51000	-108990.13861360287	-2044.188866529951	-106945.94974707293	149.57107549492423	1874.0261847790484	9798.304747749513	8611.294489822409	0.044924238889700874	1.0198410821866208	0.2455170667847521	0.24881194939677143	0.24986259669237199	0.25580838712610443	0.4550835208578705	1.1256452710064681E-4	1.1256452710064688E-4	-106945.94974707293	0.0	-2021.8840786511942
52000	-108996.82820498341	-2073.6533895164553	-106923.17481546695	163.6418507111703	1859.9554095628023	11068.477954718983	12191.541882807873	0.044924238889700874	1.0621497926622283	0.2493684566698926	0.25174206390440657	0.24685033369043383	0.252039145735267	0.4448634738150908	9.957669633782343E-5	9.957669633782342E-5	-106923.17481546695	0.0	-2047.5488253045655
53000	-108983.074869724	-2059.462836624212	-106923.6120330998	153.12798898001952	1870.469271293953	10553.034716593998	11627.381144589512	0.044924238889700874	1.0621497926622283	0.2493684566698926	0.25174206390440657	0.2476404411547374	0.2512490382709634	0.4817933534972846	1.0400147133235544E-4	1.0400147133235552E-4	-106923.6120330998	0.0	-2033.8549546766467
54000	-108980.46670251215	-2061.6919712771987	-106918.77473123495	157.82422015100272	1865.7730401229699	10742.900105447672	11730.414975120588	0.044924238889700874	1.0621497926622283	0.2475828532492288	0.25343915291533486	0.2476404411547374	0.2513375526806989	0.46172495952548304	1.049081256606143E-4	1.0490812566061438E-4	-106918.77473123495	0.0	-2035.987468295853
55000	-108969.91477433391	-2068.6632311814556	-106901.25154315245	163.74053799283845	1859.8567222811341	11115.588313461165	12489.448271851374	0.044924238889700874	1.0621497926622283	0.24803169494976163	0.25245421912681965	0.24859955726115904	0.25091452866225966	0.46773749237491874	1.0130004014854181E-4	1.0130004014854163E-4	-106901.25154315245	0.0	-2042.1605921785322
56000	-108847.80802827055	-2067.5451949705357	-106780.26283330002	162.21046021848034	1861.3868000554921	11100.524769488642	12521.667374290724	0.044924238889700874	1.0497781062805929	0.25037567668870053	0.25245421912681965	0.24593894128076688	0.2512311629037129	0.47872642277968425	1.0136274656528034E-4	1.0136274656528008E-4	-106780.26283330002	0.0	-2040.9902536000814
57000	-108791.73281718913	-2061.254206886667	-106730.47861030247	156.24444128512306	1867.3528189888495	10827.482471419957	11824.992288004365	0.044924238889700874	1.0289601590884203	0.2506260976625243	0.2502729792778438	0.24786976015591897	0.2512311629037129	0.47872642277968425	1.0299042208199483E-4	1.0299042208199505E-4	-106730.47861030247	0.0	-2035.4504688989464
58000	-108781.27885408484	-2054.4837727337017	-106726.79508135114	148.0380058361451	1875.5592544378273	10491.336188131969	11374.998032552885	0.044924238889700874	1.0289601590884203	0.2506260976625243	0.2502729792778438	0.2494034580330119	0.24969746502661996	0.47891525727595885	1.0624899543888028E-4	1.0624899543888047E-4	-106726.79508135114	0.0	-2029.1374995131687
59000	-108758.6366057477	-2047.3057462188399	-106711.33085952885	146.85094609452904	1876.7463141794435	10217.094645825173	9951.156577187063	0.044924238889700874	1.0289601590884203	0.25232096987334873	0.2485781070670194	0.25034410038937166	0.2487568226702602	0.47891525727595885	1.0878073239217891E-4	1.0878073239217884E-4	-106711.33085952885	0.0	-2023.495162424428
